textbox1,textbox77
Volume 4 - diário,"Este relatório exibe a quantidade de contatos diários da aplicação, fila e canal selecionados. Ele inclui ligações com relatórios de horas.

Parâmetros dos relatórios: 
- Anos:    2026
- Meses: All
- Aplicações:    ContactCenter
- Filas:    ATENDENTE - VAB,   CANCELAMENTO - VAB,   ELOGIO - VAB,   INFORMAÇÃO - VAB,   RECLAMAÇÃO - VAB,   SUGESTÃO - VAB,   TROCA - VAB
- Canais:       CallIn"

textbox2,textbox3,textbox4,textbox5,textbox10,textbox11,textbox7,textbox72,textbox16,textbox115,textbox111,textbox76,textbox50,textbox53,textbox82,textbox83,textbox6,textbox12,textbox14,textbox15,textbox31,textbox13,textbox35,textbox39,textbox54,textbox51,textbox48,textbox45,textbox20,textbox21,textbox52,textbox44,textbox17,textbox8,textbox73,textbox80,The_Date,textbox92,textbox22,textbox34,Waiting_Time_In_Seconds,textbox23,textbox24,textbox40,textbox32,textbox57,textbox58,textbox36,textbox38,textbox37,Max_Handled_Waiting_Time_In_Seconds,Handled_Waiting_Time_In_Seconds,Talking_Time_In_Seconds_1,Max_Talking_Time_In_Seconds,Talking_Time_In_Seconds,textbox79,textbox41,textbox29,textbox43,Abandoned_Waiting_Time_In_Seconds,Max_Abandoned_Waiting_Time_In_Seconds,Abandoned_Waiting_Time_In_Seconds_1,Count_Of_Service_Closed_Contac,textbox49,textbox74,textbox86,textbox70,textbox93,textbox28,textbox46,textbox81,textbox85,textbox33,textbox87,textbox88,textbox89,textbox56,textbox91,textbox60,textbox25,textbox94,textbox95,textbox68,textbox97,textbox98,textbox99,textbox62,textbox101,textbox64,textbox18,textbox104,textbox105,textbox107,textbox66,textbox75,textbox90,textbox9,textbox96,textbox78,textbox30,textbox116,textbox117,textbox55,textbox119,textbox120,textbox121,textbox59,textbox123,textbox61,textbox27,textbox126,textbox127,textbox69,textbox129,textbox130,textbox131,textbox63,textbox133,textbox65,textbox19,textbox136,textbox137,textbox138,textbox67,Max_Concurrent_App_Contact,Max_Concurrent_Queue_Contact
Visualizar durações,Recebido,Concluído,Tratado,Falsas tentat.,Cancelado,Serviço fechado,Contatos simultâneos (máx.),Dia,Aplicação,Fila,Quantidade,Quantidade,Em espera (média),Total em espera,Quantidade,Quantidade(Atendidas em tempo),Nível de serviço %,Quantidade(Transferência),% (Transferência),Quantidade(Estouro),% (Estouro),Em espera (média),Em espera (máximo),Total em espera,Processamento (médio),Processamento (máximo),Processamento (total),Quantidade,Quantidade,Em espera (média),Em espera (máximo),Total em espera,Quantidade,Aplicação,Fila,2026-01-01,1006,1003,0:09:35,160:18:12,400,"40,04 %",28,"2,80 %",0,",00 %",0,",00 %",0:13:00,0:38:01,86:43:41,0:06:51,0:51:02,45:40:34,4,",40 %",599,"59,72 %",0:07:22,0:36:50,73:34:21,0,",00 %",27,14,ContactCenter,1006,1003,0:09:35,160:18:12,400,"40,04 %",28,"2,80 %",0,",00 %",0,",00 %",0:13:00,0:38:01,86:43:41,0:06:51,0:51:02,45:40:34,4,",40 %",599,"59,72 %",0:07:22,0:36:50,73:34:21,0,",00 %",27,14,ATENDENTE - VAB,498,497,0:08:56,74:05:08,195,"39,39 %",16,"3,23 %",0,",00 %",0,",00 %",0:11:58,0:33:40,38:55:24,0:05:59,0:35:02,19:27:58,2,",40 %",300,"60,36 %",0:07:01,0:29:32,35:09:39,0,",00 %",27,14
Visualizar durações,Recebido,Concluído,Tratado,Falsas tentat.,Cancelado,Serviço fechado,Contatos simultâneos (máx.),Dia,Aplicação,Fila,Quantidade,Quantidade,Em espera (média),Total em espera,Quantidade,Quantidade(Atendidas em tempo),Nível de serviço %,Quantidade(Transferência),% (Transferência),Quantidade(Estouro),% (Estouro),Em espera (média),Em espera (máximo),Total em espera,Processamento (médio),Processamento (máximo),Processamento (total),Quantidade,Quantidade,Em espera (média),Em espera (máximo),Total em espera,Quantidade,Aplicação,Fila,2026-01-01,1006,1003,0:09:35,160:18:12,400,"40,04 %",28,"2,80 %",0,",00 %",0,",00 %",0:13:00,0:38:01,86:43:41,0:06:51,0:51:02,45:40:34,4,",40 %",599,"59,72 %",0:07:22,0:36:50,73:34:21,0,",00 %",27,14,ContactCenter,1006,1003,0:09:35,160:18:12,400,"40,04 %",28,"2,80 %",0,",00 %",0,",00 %",0:13:00,0:38:01,86:43:41,0:06:51,0:51:02,45:40:34,4,",40 %",599,"59,72 %",0:07:22,0:36:50,73:34:21,0,",00 %",27,14,CANCELAMENTO - VAB,82,81,0:09:40,13:03:06,30,"37,04 %",1,"1,23 %",0,",00 %",0,",00 %",0:13:13,0:27:24,6:36:37,0:08:46,0:33:36,4:23:23,0,",00 %",51,"62,96 %",0:07:34,0:17:10,6:26:29,0,",00 %",22,6
Visualizar durações,Recebido,Concluído,Tratado,Falsas tentat.,Cancelado,Serviço fechado,Contatos simultâneos (máx.),Dia,Aplicação,Fila,Quantidade,Quantidade,Em espera (média),Total em espera,Quantidade,Quantidade(Atendidas em tempo),Nível de serviço %,Quantidade(Transferência),% (Transferência),Quantidade(Estouro),% (Estouro),Em espera (média),Em espera (máximo),Total em espera,Processamento (médio),Processamento (máximo),Processamento (total),Quantidade,Quantidade,Em espera (média),Em espera (máximo),Total em espera,Quantidade,Aplicação,Fila,2026-01-01,1006,1003,0:09:35,160:18:12,400,"40,04 %",28,"2,80 %",0,",00 %",0,",00 %",0:13:00,0:38:01,86:43:41,0:06:51,0:51:02,45:40:34,4,",40 %",599,"59,72 %",0:07:22,0:36:50,73:34:21,0,",00 %",27,14,ContactCenter,1006,1003,0:09:35,160:18:12,400,"40,04 %",28,"2,80 %",0,",00 %",0,",00 %",0:13:00,0:38:01,86:43:41,0:06:51,0:51:02,45:40:34,4,",40 %",599,"59,72 %",0:07:22,0:36:50,73:34:21,0,",00 %",27,14,ELOGIO - VAB,48,48,0:10:10,8:08:16,16,"34,04 %",0,",00 %",0,",00 %",0,",00 %",0:15:29,0:31:39,4:07:51,0:08:17,0:28:51,2:12:32,1,"2,08 %",31,"64,58 %",0:07:45,0:23:07,4:00:24,0,",00 %",24,3
