textbox1,textbox77
Resultado do script - volume de filas por dia,"Este relatório exibe dados relacionados à chamada que usuários inseriram em scripts durante ou após chamada, relacionado ao dia e volume da fila. Inclui apenas itens que usuários podem selecionar (texto livre omitido).

Parâmetros dos relatórios: 
- Anos:    2026
- Meses:    2026-06
- Dias:    2026-06-14
- Aplicações:    ContactCenter
- Filas:    ATENDENTE - VAB,   CANCELAMENTO - VAB,   ELOGIO - VAB,   INFORMAÇÃO - VAB,   RECLAMAÇÃO - VAB,   SUGESTÃO - VAB,   TROCA - VAB
- Scripts:    Pesquisa de Satisfação VAB
- Perguntas: All
- REP_XFLD_ANSWER:    1,   2,   3,   4,   5"

textbox2,textbox4,textbox19,textbox3,textbox6,textbox8,textbox10,textbox12,textbox56,textbox47,The_Date_attribute,Queue_Name_attribute_1,textbox31,textbox37,textbox9,Infocard,textbox30,textbox43,Question,textbox35,textbox36,Answer,textbox42,textbox61,textbox55
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,ATENDENTE - VAB,,30,"0,00%",Pesquisa de Satisfação VAB,54,27,Qualidade da solução?,,27,1,3,"11,11%","10,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,ATENDENTE - VAB,,30,"0,00%",Pesquisa de Satisfação VAB,54,27,Qualidade da solução?,,27,4,3,"11,11%","10,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,ATENDENTE - VAB,,30,"0,00%",Pesquisa de Satisfação VAB,54,27,Qualidade da solução?,,27,5,21,"77,78%","70,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,ATENDENTE - VAB,,30,"0,00%",Pesquisa de Satisfação VAB,54,27,Qualidade do atendimento?,,27,1,3,"11,11%","10,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,ATENDENTE - VAB,,30,"0,00%",Pesquisa de Satisfação VAB,54,27,Qualidade do atendimento?,,27,4,1,"3,70%","3,33%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,ATENDENTE - VAB,,30,"0,00%",Pesquisa de Satisfação VAB,54,27,Qualidade do atendimento?,,27,5,23,"85,19%","76,67%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,CANCELAMENTO - VAB,,4,"0,00%",Pesquisa de Satisfação VAB,7,3,Qualidade da solução?,,3,4,1,"33,33%","25,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,CANCELAMENTO - VAB,,4,"0,00%",Pesquisa de Satisfação VAB,7,3,Qualidade da solução?,,3,5,2,"66,67%","50,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,CANCELAMENTO - VAB,,4,"0,00%",Pesquisa de Satisfação VAB,7,4,Qualidade do atendimento?,,4,5,4,"100,00%","100,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,ELOGIO - VAB,,2,"0,00%",Pesquisa de Satisfação VAB,4,2,Qualidade da solução?,,2,5,2,"100,00%","100,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,ELOGIO - VAB,,2,"0,00%",Pesquisa de Satisfação VAB,4,2,Qualidade do atendimento?,,2,5,2,"100,00%","100,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,INFORMAÇÃO - VAB,,2,"0,00%",Pesquisa de Satisfação VAB,4,2,Qualidade da solução?,,2,5,2,"100,00%","100,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,INFORMAÇÃO - VAB,,2,"0,00%",Pesquisa de Satisfação VAB,4,2,Qualidade do atendimento?,,2,5,2,"100,00%","100,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,RECLAMAÇÃO - VAB,,1,"0,00%",Pesquisa de Satisfação VAB,1,1,Qualidade do atendimento?,,1,5,1,"100,00%","100,00%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,TROCA - VAB,,34,"0,00%",Pesquisa de Satisfação VAB,63,31,Qualidade da solução?,,31,1,5,"16,13%","14,71%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,TROCA - VAB,,34,"0,00%",Pesquisa de Satisfação VAB,63,31,Qualidade da solução?,,31,3,1,"3,23%","2,94%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,TROCA - VAB,,34,"0,00%",Pesquisa de Satisfação VAB,63,31,Qualidade da solução?,,31,5,25,"80,65%","73,53%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,TROCA - VAB,,34,"0,00%",Pesquisa de Satisfação VAB,63,32,Qualidade do atendimento?,,32,1,6,"18,75%","17,65%"
Dia,Fila,Scripts/perguntas salvos,Scripts gravados/chamadas atendidas,Nome do script,Pergunta do script,Respostas de script,Número de respostas,Respostas/perguntas,Respostas script/scripts gravados,2026-06-14,TROCA - VAB,,34,"0,00%",Pesquisa de Satisfação VAB,63,32,Qualidade do atendimento?,,32,5,26,"81,25%","76,47%"

Label,chart1_CategoryQuestion_label,chart1_CategoryQuestion_chart1_CategoryAnswer_label,chart1_CategoryQuestion_chart1_CategoryAnswer_Value_DataValue0
Quantidade,Qualidade da solução?,1,8
Quantidade,Qualidade da solução?,4,4
Quantidade,Qualidade da solução?,5,52
Quantidade,Qualidade da solução?,3,1
Quantidade,Qualidade do atendimento?,1,9
Quantidade,Qualidade do atendimento?,4,1
Quantidade,Qualidade do atendimento?,5,58

